Poczatek gry. (27.10.2015 0:55)
Gracz,Tura,Dochod,Czas
1,1,3,558
2,1,3,12
1,2,3,134
2,2,3,22
1,3,3,136
2,3,3,19
1,4,3,565
2,4,3,10
1,5,3,701
2,5,3,9
1,6,3,626
2,6,3,20
1,7,3,806
2,7,3,9
1,8,3,816
2,8,3,9
1,9,3,580
2,9,3,11
1,10,3,674
2,10,3,11
1,11,8,652
2,11,3,10
1,12,8,785
2,12,3,13
1,13,8,1419
2,13,3,10
1,14,8,201
2,14,8,10
1,15,8,1676
2,15,3,12
1,16,8,296
2,16,3,9
1,17,8,227
2,17,3,9
1,18,10,183
2,18,3,21
1,19,10,206
2,19,3,17
1,20,10,245
2,20,3,19
1,21,10,181
2,21,3,19
1,22,10,187
2,22,3,18
1,23,10,180
2,23,3,18
1,24,10,1283
2,24,3,19
1,25,13,903
2,25,3,19
1,26,13,632
2,26,3,19
1,27,13,662
2,27,3,18
1,28,13,918
2,28,3,19
1,29,13,632
2,29,3,19
1,30,13,617
2,30,3,19
1,31,13,785
2,31,3,9
1,32,13,823
2,32,3,9
1,33,13,152
2,33,3,19
1,34,13,170
2,34,3,19
1,35,15,1106
2,35,3,19
1,36,15,868
2,36,3,18
1,37,15,776
2,37,3,17
1,38,15,467
2,38,3,19
1,39,15,460
2,39,3,22
1,40,15,535
2,40,3,9
1,41,15,342
2,41,3,22
1,42,15,320
2,42,3,14
1,43,15,182
2,43,3,20
1,44,15,121
2,44,3,9
1,45,15,171
2,45,3,19
1,46,20,118
2,46,3,18
1,47,20,108
2,47,3,10
1,48,20,58
2,48,3,10
1,49,20,53
2,49,3,12
1,50,20,24
2,50,3,11
1,51,20,26
2,51,3,9
1,52,20,26
2,52,3,11
1,53,20,24
2,53,3,10
1,54,20,9
2,54,3,9
1,55,20,10
2,55,3,9
1,56,27,22
