Poczatek gry. (26.10.2015 10:3)
Gracz,Tura,Dochod,Czas
1,1,3,94
2,1,3,12
1,2,3,70
2,2,3,8
1,3,3,104
2,3,3,17
1,4,3,91
2,4,3,23
1,5,3,37
2,5,3,18
1,6,3,77
2,6,3,9
1,7,3,43
2,7,3,15
1,8,5,43
2,8,3,9
1,9,5,20
2,9,3,17
1,10,5,38
2,10,3,17
1,11,5,58
2,11,3,10
1,12,5,46
2,12,3,8
1,13,5,138
2,13,3,18
1,14,5,173
2,14,3,19
1,15,5,248
2,15,3,17
1,16,5,109
2,16,3,18
1,17,5,266
2,17,3,18
1,18,5,414
2,18,3,18
1,19,10,434
2,19,3,8
1,20,10,146
2,20,3,17
1,21,10,232
2,21,3,18
1,22,10,605
2,22,3,17
1,23,10,859
2,23,3,8
1,24,10,835
2,24,3,8
1,25,10,632
2,25,3,7
1,26,12,478
2,26,3,8
1,27,12,692
2,27,3,13
1,28,12,684
2,28,3,8
1,29,12,571
2,29,3,17
1,30,12,382
2,30,3,8
1,31,12,1008
2,31,3,16
1,32,12,611
2,32,3,18
1,33,12,416
2,33,3,17
1,34,12,371
2,34,3,8
1,35,7,256
2,35,3,9
1,36,12,230
2,36,3,15
1,37,15,362
2,37,3,18
1,38,15,259
2,38,3,17
1,39,15,305
2,39,3,17
1,40,15,445
2,40,3,18
1,41,15,438
2,41,3,9
1,42,15,331
2,42,3,9
1,43,15,301
2,43,3,8
1,44,15,178
2,44,3,8
1,45,15,126
2,45,3,8
1,46,20,58
2,46,3,8
1,47,20,88
2,47,3,15
1,48,20,76
2,48,3,18
1,49,20,55
2,49,3,18
1,50,20,61
2,50,3,20
1,51,20,34
2,51,3,20
1,52,20,33
2,52,3,9
1,53,20,32
2,53,3,18
1,54,20,17
2,54,3,19
1,55,20,23
2,55,3,18
1,56,20,19
2,56,3,12
1,57,20,11
2,57,3,18
1,58,27,17
