Poczatek gry. (27.10.2015 5:51)
Gracz,Tura,Dochod,Czas
1,1,3,2010
2,1,3,172
1,2,3,2017
2,2,3,257
1,3,3,2017
2,3,3,153
1,4,3,2028
2,4,3,237
1,5,3,2016
2,5,3,102
1,6,3,2018
2,6,3,1081
1,7,3,2015
2,7,3,575
1,8,3,2018
2,8,3,129
1,9,3,2017
2,9,3,414
1,10,3,2018
2,10,3,456
1,11,8,2016
2,11,3,467
1,12,8,2028
2,12,3,134
1,13,8,2017
2,13,3,153
1,14,8,2005
2,14,3,392
1,15,8,2014
2,15,3,260
1,16,8,2018
2,16,3,206
1,17,8,2016
2,17,3,63
1,18,8,2016
2,18,3,56
1,19,8,2018
2,19,3,138
1,20,8,2015
2,20,3,73
1,21,8,2017
2,21,3,118
1,22,8,2005
2,22,3,271
1,23,8,2016
2,23,3,1430
1,24,3,2017
2,24,3,172
1,25,3,2015
2,25,5,1049
1,26,3,2016
2,26,5,1243
1,27,3,2016
2,27,3,1130
1,28,3,2117
2,28,3,1008
1,29,3,2019
2,29,3,173
1,30,3,2017
2,30,3,1207
1,31,3,2018
2,31,3,160
1,32,3,2018
2,32,3,151
1,33,3,2018
2,33,3,140
1,34,3,2016
2,34,3,584
1,35,3,2017
2,35,3,890
1,36,3,2005
2,36,3,119
1,37,3,2005
2,37,3,1171
1,38,3,2019
2,38,3,712
1,39,3,2018
2,39,3,460
1,40,3,2017
2,40,3,286
1,41,3,2016
2,41,3,179
1,42,3,2016
2,42,3,187
1,43,3,2016
2,43,3,139
1,44,3,2018
2,44,3,92
1,45,3,2034
2,45,3,160
1,46,3,2007
2,46,3,130
1,47,3,2016
2,47,3,269
1,48,3,2008
2,48,3,244
1,49,3,2013
2,49,3,258
1,50,3,2045
2,50,3,256
1,51,5,2015
2,51,8,223
1,52,5,2017
2,52,3,99
1,53,5,2011
2,53,3,63
1,54,3,2073
2,54,3,89
1,55,3,2023
2,55,3,93
1,56,3,2015
2,56,3,120
1,57,5,2017
2,57,3,83
1,58,5,2005
2,58,8,75
1,59,5,2017
2,59,3,52
1,60,5,2017
2,60,3,30
1,61,5,2016
2,61,3,19
1,62,5,2020
2,62,3,40
1,63,10,2006
2,63,3,23
1,64,10,2017
2,64,3,11
1,65,10,2013
2,65,3,22
1,66,12,2097
2,66,3,142
1,67,12,2015
2,67,3,22
1,68,12,2017
2,68,3,24
1,69,12,2016
2,69,3,22
1,70,12,2017
2,70,3,25
1,71,12,2017
2,71,3,11
1,72,12,2016
2,72,3,11
1,73,12,2008
2,73,3,20
1,74,12,2008
2,74,3,11
1,75,12,2014
2,75,3,23
1,76,12,2017
2,76,3,25
1,77,12,2017
2,77,3,13
1,78,12,2105
2,78,3,30
1,79,12,2130
2,79,3,24
1,80,12,2015
2,80,3,32
1,81,12,2019
2,81,3,40
1,82,12,2015
2,82,3,24
1,83,12,2016
2,83,3,23
1,84,12,2016
2,84,3,47
1,85,12,2018
2,85,3,31
1,86,12,2017
2,86,3,22
1,87,12,2229
2,87,3,15
1,88,12,2014
2,88,3,18
1,89,12,2017
2,89,3,17
1,90,12,2014
2,90,3,23
1,91,12,2017
2,91,3,23
1,92,12,2016
2,92,3,190
1,93,17,2119
2,93,3,267
1,94,20,2018
2,94,3,55
1,95,20,2019
2,95,3,39
1,96,15,2020
2,96,3,24
1,97,20,2025
2,97,3,23
1,98,20,2026
2,98,3,22
1,99,20,2032
2,99,3,28
1,100,27,2028
