Poczatek gry. (27.10.2015 5:0)
Gracz,Tura,Dochod,Czas
1,1,3,1012
2,1,3,13
1,2,3,1005
2,2,3,13
1,3,3,1010
2,3,3,12
1,4,3,1005
2,4,3,11
1,5,3,1011
2,5,3,12
1,6,3,1007
2,6,3,10
1,7,3,1004
2,7,3,10
1,8,3,1009
2,8,3,10
1,9,5,1018
2,9,3,9
1,10,5,1015
2,10,3,10
1,11,5,1014
2,11,3,26
1,12,5,1013
2,12,3,11
1,13,5,1004
2,13,3,10
1,14,5,1005
2,14,3,11
1,15,5,1019
2,15,3,27
1,16,5,1004
2,16,3,11
1,17,5,1003
2,17,3,11
1,18,5,1004
2,18,3,12
1,19,5,1008
2,19,3,10
1,20,5,1005
2,20,3,12
1,21,5,1004
2,21,3,11
1,22,5,1006
2,22,3,9
1,23,5,1004
2,23,3,9
1,24,5,1013
2,24,3,19
1,25,5,1015
2,25,3,20
1,26,5,1015
2,26,3,19
1,27,5,1014
2,27,3,9
1,28,5,1005
2,28,3,20
1,29,5,1014
2,29,3,19
1,30,5,1015
2,30,3,26
1,31,5,1004
2,31,3,13
1,32,5,1009
2,32,3,21
1,33,5,1014
2,33,3,19
1,34,5,1013
2,34,3,20
1,35,5,1015
2,35,3,9
1,36,5,1004
2,36,3,20
1,37,5,1014
2,37,3,21
1,38,5,1011
2,38,3,20
1,39,5,1011
2,39,3,20
1,40,5,1014
2,40,3,9
1,41,5,1015
2,41,3,10
1,42,5,1004
2,42,3,20
1,43,5,1014
2,43,3,20
1,44,5,1014
2,44,3,9
1,45,5,1005
2,45,3,23
1,46,8,1004
2,46,3,20
1,47,8,1014
2,47,3,19
1,48,8,1014
2,48,3,19
1,49,8,1007
2,49,3,10
1,50,13,1015
2,50,3,25
1,51,13,1014
2,51,3,11
1,52,13,1013
2,52,3,9
1,53,13,1014
2,53,3,20
1,54,13,1010
2,54,3,9
1,55,13,1003
2,55,3,20
1,56,13,1015
2,56,3,20
1,57,13,1139
2,57,3,110
1,58,15,1013
2,58,3,9
1,59,15,1004
2,59,3,19
1,60,15,1013
2,60,3,20
1,61,15,1014
2,61,3,9
1,62,15,1014
2,62,3,20
1,63,15,1014
2,63,3,10
1,64,15,1014
2,64,3,20
1,65,13,1014
2,65,3,19
1,66,13,1014
2,66,3,20
1,67,13,1014
2,67,3,9
1,68,20,1014
2,68,3,20
1,69,20,1008
2,69,3,9
1,70,20,1014
2,70,3,9
1,71,22,1006
2,71,3,19
1,72,22,1021
2,72,3,9
1,73,27,1014
