Poczatek gry. (27.10.2015 4:22)
Gracz,Tura,Dochod,Czas
1,1,3,1007
2,1,3,12
1,2,3,1005
2,2,3,11
1,3,3,1005
2,3,3,20
1,4,3,1032
2,4,3,10
1,5,3,1004
2,5,3,23
1,6,3,1009
2,6,3,10
1,7,3,1010
2,7,3,9
1,8,3,1025
2,8,3,9
1,9,3,1027
2,9,3,19
1,10,3,1028
2,10,3,9
1,11,3,1017
2,11,3,11
1,12,3,1016
2,12,3,24
1,13,5,1013
2,13,3,9
1,14,5,1003
2,14,3,9
1,15,5,1004
2,15,3,10
1,16,5,1004
2,16,3,19
1,17,5,1013
2,17,3,21
1,18,5,1013
2,18,3,9
1,19,5,1004
2,19,3,20
1,20,5,1014
2,20,3,19
1,21,5,1014
2,21,3,19
1,22,5,1013
2,22,3,9
1,23,10,1005
2,23,3,11
1,24,10,1003
2,24,3,22
1,25,10,1007
2,25,3,11
1,26,10,1005
2,26,3,57
1,27,10,1003
2,27,3,9
1,28,10,1004
2,28,3,9
1,29,10,1011
2,29,3,10
1,30,10,1004
2,30,3,10
1,31,10,1015
2,31,3,8
1,32,13,1006
2,32,3,9
1,33,13,1004
2,33,3,10
1,34,13,1004
2,34,3,12
1,35,13,1007
2,35,3,10
1,36,13,1004
2,36,3,21
1,37,13,1014
2,37,3,20
1,38,13,1013
2,38,3,20
1,39,13,1014
2,39,3,9
1,40,13,1014
2,40,3,20
1,41,13,1011
2,41,3,10
1,42,13,1014
2,42,3,19
1,43,13,1007
2,43,3,20
1,44,13,1014
2,44,3,10
1,45,13,1004
2,45,3,9
1,46,11,1004
2,46,3,9
1,47,11,1004
2,47,3,20
1,48,11,1013
2,48,3,9
1,49,11,1004
2,49,3,19
1,50,13,1006
2,50,3,10
1,51,13,1003
2,51,3,20
1,52,13,1014
2,52,3,20
1,53,13,1013
2,53,3,9
1,54,13,1003
2,54,3,19
1,55,13,1015
2,55,3,9
1,56,13,1004
2,56,3,9
1,57,13,1004
2,57,3,10
1,58,13,1014
2,58,3,99
1,59,13,1013
2,59,3,20
1,60,13,1014
2,60,3,20
1,61,18,1014
